ChannelTitle,Title,Published_date,Views,Likes,Comments
blue brown,pattern breaks good reason moser circle problem,2023-07-02,2118213,87478,2150
blue brown,newton method newton fractal newton knew nothing,2021-10-12,2834450,91555,3332
alex analyst,limit aliasing mysql mysql beginner series,2023-12-19,63732,1298,44
alex analyst,meta marketing analytics professional certificate coursera review,2022-06-28,36266,939,103
freecodecamp org,unreal engine beginner tutorial blueprint,2022-02-03,131226,2881,131
freecodecamp org,intermediate python programming course,2020-08-27,3789220,83147,1905
freecodecamp org,editing react components part p live coding jesse,2018-06-12,2002,37,1
freecodecamp org,basic css styling p live coding jesse,2018-04-04,4168,102,5
freecodecamp org,react materialui navigation menus part p live coding jesse,2018-01-18,4750,51,1
freecodecamp org,react project day live coding jesse,2017-07-25,3774,40,7
alex analyst,hiring managers looking nail interview process,2023-07-18,31844,1257,67
alex analyst,intermediate sql tutorial clause,2020-04-09,181118,4704,86
freecodecamp org,fashion software engineer alison yoon podcast,2024-06-28,18050,415,46
freecodecamp org,functional programming elixir full course,2023-05-10,99069,2148,116
freecodecamp org,learn code programming beginners tutorial python c,2021-08-23,305714,11898,547
freecodecamp org,build brain computer app react native part live coding jesse,2020-03-19,17879,317,5
freecodecamp org,react tutorial weather app restful apis,2019-01-23,39802,628,26
freecodecamp org,flexbox layouts css tutorial day css days,2018-10-02,15686,347,19
freecodecamp org,live coding changed life,2018-06-08,3331,47,7
freecodecamp org,populating nextjs pages wordpress data via graphql p live coding jesse,2017-12-14,4458,56,4
freecodecamp org,finishing react site live coding jesse,2017-07-19,1904,20,8
freecodecamp org,meetings code vlog,2017-01-13,1682,35,12
blue brown,prime numbers make spirals dirichlet theorem pi approximations,2019-10-08,5798559,173979,6574
alex analyst,regular expression character classes python,2023-08-08,10504,181,13
alex analyst,data analyst q livestream april livestream ask anything,2023-04-27,10296,341,27
freecodecamp org,top javascript algorithms prepare coding interviews,2024-03-12,72420,2544,76
freecodecamp org,data science job interview full mock interview,2023-03-13,548138,13654,333
freecodecamp org,chatgpt clone openai api react tutorial,2023-01-18,142896,3807,149
freecodecamp org,music production fl studio full tutorial beginners,2023-01-05,924182,33071,927
freecodecamp org,build career tech kurt kemple connects dots,2020-11-27,18884,683,29
freecodecamp org,full stack react firebase tutorial build social media app,2019-06-24,1055455,25348,1698
freecodecamp org,javascript lingo manipulating data,2015-08-23,13838,153,2
blue brown,determinant chapter essence linear algebra,2016-08-10,3814973,84003,3890
alex analyst,data analyst vs data scientist responsibilities salaries skills education,2023-09-19,45068,1104,53
freecodecamp org,deploy web app using multiple methods azure render mongodb atlas koyeb,2024-07-10,69454,2247,49
freecodecamp org,api security pci compliance data security standard,2023-10-02,31813,994,24
freecodecamp org,learn graphql laravel vue js full tutorial,2019-07-10,59328,1280,44
freecodecamp org,build relationships tech community,2018-09-17,5219,165,10
freecodecamp org,clipping images css tutorial day css days,2018-09-13,59058,1271,34
freecodecamp org,build chat app react tutorial course,2018-08-21,213450,3134,128
freecodecamp org,javascript html gamedev tutorial ball pool game part,2018-06-18,22032,320,32
freecodecamp org,redesigning homepage p live coding jesse,2017-09-22,3008,47,3
freecodecamp org,react project day live coding jesse,2017-08-16,1881,29,2
freecodecamp org,react refactoring components live streaming jesse,2017-07-14,2350,35,0
freecodecamp org,big notation care,2015-09-21,38972,448,17
blue brown,cute probability fact part,2024-09-10,72094,3995,47
freecodecamp org,harvard cs web programming python javascript full university course,2023-03-08,906029,30962,508
freecodecamp org,python web development crash course api sql databases virtual environment flask django,2023-01-04,102472,2972,78
freecodecamp org,blockchain development querying open apis course,2022-02-10,146186,3965,151
freecodecamp org,react js course beginners tutorial,2021-07-08,553483,14069,506
freecodecamp org,data analysis python part live course,2020-08-15,673939,10354,187
freecodecamp org,merging pull requests git github p live coding jesse,2017-11-02,2602,42,1
freecodecamp org,troubleshooting nodejs auth p live coding jesse,2017-10-24,1774,27,1
freecodecamp org,react setup create react app p live coding jesse,2017-10-03,9211,112,21
freecodecamp org,react project day live coding jesse,2017-08-01,2517,30,4
freecodecamp org,react refactoring live coding jesse,2017-07-18,2182,35,6
freecodecamp org,feedback code vlog,2017-01-02,2508,66,7
blue brown,tips better problem solver last live lecture ep lockdown live math,2020-05-22,1297445,25562,1001
blue brown,bayes theorem geometry changing beliefs,2019-12-22,4407910,125959,3753
blue brown,higher order derivatives chapter essence calculus,2017-05-07,757370,17826,421
alex analyst,data analyst resume everything need know alex analyst show episode,2020-12-24,41706,1196,137
freecodecamp org,use picture element responsive images html,2024-06-30,14556,731,13
freecodecamp org,indie game dev jabrils talks ai anime freecodecamp podcast,2024-04-05,16295,313,24
freecodecamp org,react state management intermediate javascript course,2022-11-15,279453,7356,338
freecodecamp org,getting first developer job,2018-10-31,31058,1087,87
freecodecamp org,maths programmers tutorial full course sets logic,2018-10-01,1360481,43796,732
freecodecamp org,pug template engine full tutorial beginners,2018-08-09,170030,2951,141
freecodecamp org,setting severless framework scratch,2018-07-18,7554,131,6
freecodecamp org,amazon alexa skill development live stream day,2018-07-10,2727,50,1
freecodecamp org,material ui update v beta p live coding jesse,2018-03-20,1935,40,0
freecodecamp org,react masonry layout part live coding jesse,2017-06-05,2495,22,9
blue brown,divergence curl language maxwell equations fluid flow,2018-06-21,4276453,133139,3778
freecodecamp org,master design patterns solid principles c full oop course beginners,2024-09-19,28634,1488,85
freecodecamp org,get faang dev job coding interview university creator john washam,2024-07-26,43570,689,47
freecodecamp org,bun tutorial javascript runtime node js alternative full course,2023-10-12,69101,1539,101
freecodecamp org,astro web framework crash course,2023-09-29,103457,2221,104
freecodecamp org,college worth,2023-08-11,48487,1557,254
freecodecamp org,azure developer associate az full course pass exam,2022-08-22,501104,7452,253
freecodecamp org,advanced computer vision python full course,2021-05-27,1715476,58862,992
freecodecamp org,beginner python projects coding course,2020-12-09,4418503,117183,2320
freecodecamp org,flutter essentials learn make apps android ios windows mac linux full course,2020-06-16,156300,3761,201
freecodecamp org,android development course build native apps kotlin tutorial,2019-10-29,330326,6843,147
freecodecamp org,aws appsync tutorial graphql apis appsync amplify angular,2019-06-11,61191,831,33
freecodecamp org,gatsby full tutorial beginners,2018-10-23,63314,1183,59
freecodecamp org,create twitter bot python,2018-09-11,59049,1176,61
freecodecamp org,css grid changes everything web layouts morten rand hendriksen,2018-02-23,6036,226,10
freecodecamp org,working localstorage react p live coding jesse,2018-01-22,2593,42,1
freecodecamp org,setting kanban board p live coding jesse,2017-10-18,8535,66,1
blue brown,vector space advice,2024-05-22,95949,5307,64
blue brown,bitcoin actually work,2017-07-07,15911627,366302,25869
alex analyst,integrate chatgpt jupyter notebooks free,2023-04-25,56713,1174,54
alex analyst,indexes pandas python pandas tutorials,2023-03-21,54010,1266,39
alex analyst,tableau data analyst certification review,2022-02-22,66075,1610,124
freecodecamp org,javascript course beginners,2024-05-13,265033,4073,165
freecodecamp org,python user interface project use pyqt code music player,2024-01-17,38131,1027,45
freecodecamp org,scrapy course python web scraping beginners,2023-04-27,446014,10048,415
freecodecamp org,machine learning everybody full course,2022-09-26,6405735,68610,1476
freecodecamp org,learn blockchain solidity full stack web development javascript hour course,2022-05-26,2975248,66077,3555
freecodecamp org,build brain computer app react native part live coding jesse,2020-03-21,23046,406,11
freecodecamp org,build better discoverable apis graphql,2018-09-25,4428,98,3
freecodecamp org,fixing mobile layout issues p live coding jesse,2018-01-25,1722,27,1
freecodecamp org,hoisting beau teaches javascript,2017-02-16,49358,933,49
blue brown,lie using visual proofs,2022-07-03,3283859,116237,4265
alex analyst,solving hard sql interview questions analyst builder,2024-01-11,17056,454,19
freecodecamp org,lessons freelancing dozens startups eddie jaoude podcast,2024-09-13,15863,302,29
freecodecamp org,learn p js creative coding beginner projects,2024-02-13,62735,1681,47
freecodecamp org,build website start finish using wordpress full course,2020-10-01,414296,9569,378
freecodecamp org,let learn js data visualization full course,2018-04-23,305887,3477,88
freecodecamp org,react homepage design development p live coding jesse,2018-02-09,6768,64,0
freecodecamp org,geolocation sorting distance live coding jesse,2017-06-15,6053,94,5
freecodecamp org,vs beau teaches javascript,2017-03-06,45358,873,42
freecodecamp org,clean code functions part beau teaches javascript,2017-02-25,19209,408,13
freecodecamp org,maths programmers introduction tips learning,2016-11-04,103727,1468,24
blue brown,pure fourier series animation montage,2019-07-03,662678,19636,1254
alex analyst,choosing domain make money,2021-10-19,19907,960,77
alex analyst,scraping data twitter using python twitterscraper nlp data visualization,2020-07-15,54614,1384,158
freecodecamp org,excel data visualization course guide charts dashboards,2024-08-27,44746,1783,30
freecodecamp org,kotlin android development course build quiz application,2023-10-30,107761,2782,93
freecodecamp org,python loops functions random python basics sam,2020-07-14,83147,1763,37
freecodecamp org,project euler challenges coding challenges florin,2020-06-10,16907,379,13
freecodecamp org,pygame tutorial beginners python game development course,2019-10-22,2021533,40723,3225
freecodecamp org,kubernetes developer guide orchestrating containers,2018-11-09,17941,307,6
freecodecamp org,create secure free aws account,2018-07-12,8325,162,6
freecodecamp org,future serverless means node js,2018-06-20,10197,171,10
freecodecamp org,react deployment p live coding jesse,2018-05-03,1876,29,0
freecodecamp org,linked list beau teaches javascript,2017-04-22,99139,1346,89
freecodecamp org,queues priority queues beau teaches javascript,2017-03-19,44199,581,28
freecodecamp org,networks wan,2016-09-23,11790,162,1
alex analyst,need learn sql everything python python dataanalysis sql,2023-07-28,48176,2865,43
alex analyst,find coworkers salary alex analyst show episode,2020-12-10,2927,93,53
freecodecamp org,linux crash course beginners labs,2024-06-13,98369,3584,105
freecodecamp org,frontend development course create blog html css,2022-03-04,371986,9934,205
freecodecamp org,reviewing website designs live gary simon,2020-10-14,20308,587,19
freecodecamp org,react native web testing part p live coding jesse,2019-04-10,6592,135,3
freecodecamp org,react building new ui live coding jesse,2017-07-07,4818,80,4
freecodecamp org,recipe box routing storage code vlog,2017-03-10,882,12,10
freecodecamp org,singleton design pattern beau teaches javascript,2017-02-26,45295,522,23
freecodecamp org,simon game code vlog,2016-12-30,13458,219,10
alex analyst,data analyst vs business analyst right,2020-07-03,762349,19371,584
freecodecamp org,learn svelte javascript framework full course,2020-05-05,76238,1716,140
freecodecamp org,aws certified developer associate pass exam,2020-04-03,1108377,19103,898
freecodecamp org,jamstack course build websites simpler faster secure,2020-03-10,138458,3054,129
freecodecamp org,functional programming java full course,2020-02-24,197096,4147,80
freecodecamp org,big code slows data grows,2018-06-11,63559,2875,53
freecodecamp org,upgrading nextjs version p live coding jesse,2018-02-06,1498,28,0
alex analyst,group order mysql beginner mysql series,2023-11-28,93563,1749,42
alex analyst,top coursera courses data analysts,2020-10-13,109661,4761,286
freecodecamp org,database systems cornell university course sql nosql large scale data analysis,2021-03-11,1307067,31951,536
alex analyst,covid data analyst job market alex analyst show episode,2020-10-01,7267,253,161
freecodecamp org,fundamentals finance economics businesses crash course,2023-09-12,902821,29829,422
freecodecamp org,wave defense game gdevelop gamedev tutorial,2023-09-11,44559,1188,78
freecodecamp org,bootstrap css framework full course beginners,2021-12-07,1308391,24520,511
freecodecamp org,intermediate react tutorial todoist clone firebase custom hooks scss react testing,2019-08-27,161139,4042,240
freecodecamp org,top contributors party new york city freecodecamp org,2018-08-19,4071,123,6
blue brown,challenging puzzle subset sums,2024-01-22,932537,42431,238
blue brown,blue brown channel trailer,2016-11-25,398699,3825,125
blue brown,matrix multiplication composition chapter essence linear algebra,2016-08-08,3243746,67068,2785
alex analyst,grow analytics career alteryx webinar oct tips break analytics,2021-10-26,11233,341,34
alex analyst,switching careers become data analyst made switch,2020-02-11,49530,1797,251
freecodecamp org,godot gamedev tutorial rpg game,2024-06-20,54974,1796,78
freecodecamp org,stardew valley game clone python pygame full course,2022-08-15,165228,5768,114
freecodecamp org,ui design tutorial website wireframe,2020-09-21,115782,3596,87
freecodecamp org,spring boot java tutorial rest api using postgresql jwt,2020-07-15,165858,2780,96
freecodecamp org,python online multiplayer game development tutorial,2019-03-27,351616,7758,356
freecodecamp org,web development tutorial javascript html css rock paper scissors game,2018-11-09,929119,21905,956
freecodecamp org,working nextjs graphql materialui p live coding jesse,2018-01-10,3774,48,2
