ChannelTitle,Title,Published_date,Views,Likes,Comments
freecodecamp org,pytorch deep learning machine learning full course,2022-10-06,1888773,42450,1140
freecodecamp org,machine learning course beginners,2021-08-30,1709250,51414,1351
freecodecamp org,web developer portfolio review tips nisar,2019-01-03,15805,360,33
freecodecamp org,speak language application architecture,2018-09-27,20066,391,6
freecodecamp org,parallax tutorial scrolling effect using css javascript,2018-08-07,112751,3429,132
freecodecamp org,basic css styling p live coding jesse,2018-04-04,4168,102,5
freecodecamp org,full stack web app using vue js express js part,2017-09-08,62283,529,57
freecodecamp org,react project day live coding jesse,2017-07-25,3774,40,7
freecodecamp org,dom events beau teaches javascript,2017-04-20,40123,786,25
freecodecamp org,react basics beau teaches javascript,2017-03-14,32479,536,28
alex analyst,merging dataframes pandas python pandas tutorials,2023-05-02,104695,2340,62
alex analyst,use joins tableau tableau tutorials beginners,2021-11-23,135170,3691,64
alex analyst,best online courses data analysts,2020-06-17,184525,9477,424
blue brown,q grant windy walk edition,2019-11-23,433352,18801,1248
blue brown,backpropagation calculus chapter deep learning,2017-11-03,2885937,61103,2119
freecodecamp org,harvard cs artificial intelligence python full university course,2023-08-10,2628143,76056,1150
freecodecamp org,java android app using rest api network data android course,2020-12-16,231566,5122,195
freecodecamp org,python main function door game python basics sam,2020-12-08,28841,762,13
freecodecamp org,scikit learn course machine learning python tutorial,2020-06-23,462682,8310,193
freecodecamp org,project euler challenges coding challenges florin,2020-06-17,15010,289,11
freecodecamp org,aws appsync tutorial graphql apis appsync amplify angular,2019-06-11,61290,829,33
freecodecamp org,react native web ui building p live coding jesse,2019-03-06,11602,201,11
freecodecamp org,write user stories epics personas dev life,2018-10-03,59786,2116,43
freecodecamp org,javascript html gamedev tutorial ball pool game part,2018-05-16,87741,1499,66
freecodecamp org,ternary operator beau teaches javascript,2017-03-15,55107,1291,42
freecodecamp org,clean code classes beau teaches javascript,2017-03-11,12502,258,7
alex analyst,installing mysql creating databases mysql beginners,2023-10-31,500159,6815,711
alex analyst,salary dataanalyst salarynegotiation,2023-09-28,13314,920,7
